,"[1, 2]","       [1, 6]","       [1, 5]","       [1, 4]","       [1, 8]","       [2, 3]","       [2, 6]","       [2, 5]","       [2, 4]","       [2, 7],","       [2, 9],","       [3, 6],","       [3, 5],","       [3, 4],","       [3, 8],","       [5, 6]","       [6, 7]","       [6, 8]","       [6, 9]","       [4, 5],","       [5, 7]","       [5, 8]","       [5, 9]","       [4, 7],","       [4, 8]","       [4, 9]","       [7, 8]","       [8, 9]",constr2,obj1,obj2,constr1,constr3,design_bitstring,design_radii
0,0.0,0.0,0.0004,0.0002,0.0,0.0003,0.0,0.0004,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,0.0,0.0002,0.0,0.0003,0.0,0.0004,0.0,0.0004,0.0,0.0,0.0004,0.0,0.0004,69000000000.0,0.157260466,0.619279597,1.39e-16,1,"[0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1]","[0.0, 0.0, 0.0004, 0.0002, 0.0, 0.0003, 0.0, 0.0004, 0.0, 0.0, 0.0, 0.0003, 0.0, 0.0, 0.0, 0.0, 0.0002, 0.0, 0.0003, 0.0, 0.0004, 0.0, 0.0004, 0.0, 0.0, 0.0004, 0.0, 0.0004]"
1,0.0002,0.0003,0.0,0.0002,0.0,0.0003,0.0003,0.0002,0.0004,0.0,0.0004,0.0004,0.0,0.0,0.0004,0.0,0.0,0.0002,0.0,0.0,0.0003,0.0,0.0003,0.0003,0.0,0.0,0.0003,0.0002,200000000000.0,0.336060629,0.603640778,1.39e-16,1,"[1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1]","[0.0002, 0.0003, 0.0, 0.0002, 0.0, 0.0003, 0.0003, 0.0002, 0.0004, 0.0, 0.0004, 0.0004, 0.0, 0.0, 0.0004, 0.0, 0.0, 0.0002, 0.0, 0.0, 0.0003, 0.0, 0.0003, 0.0003, 0.0, 0.0, 0.0003, 0.0002]"
2,0.0002,0.0004,0.0,0.0004,0.0,0.0,0.0,0.0003,0.0002,0.0003,0.0002,0.0002,0.0,0.0002,0.0002,0.0003,0.0002,0.0003,0.0003,0.0003,0.0003,0.0,0.0002,0.0,0.0,0.0003,0.0002,0.0,69000000000.0,0.260312855,0.699117196,1.39e-16,1,"[1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0]","[0.0002, 0.0004, 0.0, 0.0004, 0.0, 0.0, 0.0, 0.0003, 0.0002, 0.0003, 0.0002, 0.0002, 0.0, 0.0002, 0.0002, 0.0003, 0.0002, 0.0003, 0.0003, 0.0003, 0.0003, 0.0, 0.0002, 0.0, 0.0, 0.0003, 0.0002, 0.0]"
3,0.0003,0.0,0.0,0.0003,0.0,0.0003,0.0,0.0,0.0,0.0003,0.0,0.0003,0.0004,0.0002,0.0,0.0,0.0003,0.0003,0.0,0.0003,0.0,0.0004,0.0003,0.0003,0.0,0.0,0.0002,0.0004,800000000.0,0.115543713,0.408732971,1.39e-16,1,"[1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1]","[0.0003, 0.0, 0.0, 0.0003, 0.0, 0.0003, 0.0, 0.0, 0.0, 0.0003, 0.0, 0.0003, 0.0004, 0.0002, 0.0, 0.0, 0.0003, 0.0003, 0.0, 0.0003, 0.0, 0.0004, 0.0003, 0.0003, 0.0, 0.0, 0.0002, 0.0004]"
4,0.0,0.0002,0.0003,0.0003,0.0,0.0002,0.0,0.0,0.0003,0.0,0.0,0.0002,0.0,0.0003,0.0002,0.0,0.0002,0.0004,0.0003,0.0004,0.0,0.0,0.0004,0.0003,0.0002,0.0002,0.0,0.0004,200000000000.0,0.132978352,0.437880119,1.39e-16,1,"[0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0.0, 0.0002, 0.0003, 0.0003, 0.0, 0.0002, 0.0, 0.0, 0.0003, 0.0, 0.0, 0.0002, 0.0, 0.0003, 0.0002, 0.0, 0.0002, 0.0004, 0.0003, 0.0004, 0.0, 0.0, 0.0004, 0.0003, 0.0002, 0.0002, 0.0, 0.0004]"
5,0.0003,0.0003,0.0004,0.0002,0.0004,0.0,0.0,0.0004,0.0,0.0004,0.0003,0.0002,0.0002,0.0,0.0,0.0003,0.0,0.0,0.0,0.0,0.0004,0.0,0.0002,0.0003,0.0002,0.0,0.0004,0.0,117000000000.0,0.25411255,0.706729897,1.39e-16,1,"[1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0]","[0.0003, 0.0003, 0.0004, 0.0002, 0.0004, 0.0, 0.0, 0.0004, 0.0, 0.0004, 0.0003, 0.0002, 0.0002, 0.0, 0.0, 0.0003, 0.0, 0.0, 0.0, 0.0, 0.0004, 0.0, 0.0002, 0.0003, 0.0002, 0.0, 0.0004, 0.0]"
6,0.0004,0.0002,0.0004,0.0002,0.0002,0.0,0.0,0.0,0.0002,0.0,0.0003,0.0003,0.0,0.0002,0.0004,0.0,0.0002,0.0002,0.0002,0.0003,0.0,0.0,0.0002,0.0003,0.0,0.0003,0.0004,0.0,800000000.0,0.173857574,0.501700732,1.39e-16,1,"[1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0]","[0.0004, 0.0002, 0.0004, 0.0002, 0.0002, 0.0, 0.0, 0.0, 0.0002, 0.0, 0.0003, 0.0003, 0.0, 0.0002, 0.0004, 0.0, 0.0002, 0.0002, 0.0002, 0.0003, 0.0, 0.0, 0.0002, 0.0003, 0.0, 0.0003, 0.0004, 0.0]"
7,0.0003,0.0003,0.0,0.0003,0.0003,0.0,0.0003,0.0002,0.0,0.0003,0.0,0.0003,0.0,0.0003,0.0002,0.0004,0.0002,0.0,0.0004,0.0,0.0,0.0,0.0004,0.0,0.0,0.0002,0.0004,0.0,69000000000.0,0.192045661,0.566635672,1.39e-16,1,"[1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0]","[0.0003, 0.0003, 0.0, 0.0003, 0.0003, 0.0, 0.0003, 0.0002, 0.0, 0.0003, 0.0, 0.0003, 0.0, 0.0003, 0.0002, 0.0004, 0.0002, 0.0, 0.0004, 0.0, 0.0, 0.0, 0.0004, 0.0, 0.0, 0.0002, 0.0004, 0.0]"
8,0.0002,0.0002,0.0002,0.0,0.0,0.0003,0.0004,0.0,0.0,0.0002,0.0,0.0,0.0004,0.0004,0.0003,0.0003,0.0004,0.0,0.0002,0.0,0.0003,0.0004,0.0004,0.0,0.0,0.0002,0.0002,0.0002,200000000000.0,0.251713511,0.962155513,1.39e-16,1,"[1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1]","[0.0002, 0.0002, 0.0002, 0.0, 0.0, 0.0003, 0.0004, 0.0, 0.0, 0.0002, 0.0, 0.0, 0.0004, 0.0004, 0.0003, 0.0003, 0.0004, 0.0, 0.0002, 0.0, 0.0003, 0.0004, 0.0004, 0.0, 0.0, 0.0002, 0.0002, 0.0002]"
9,0.0,0.0,0.0,0.0003,0.0003,0.0004,0.0002,0.0002,0.0,0.0,0.0,0.0004,0.0,0.0,0.0003,0.0,0.0004,0.0003,0.0004,0.0002,0.0,0.0,0.0,0.0004,0.0003,0.0002,0.0,0.0004,69000000000.0,0.148297546,0.380269568,1.39e-16,1,"[0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1]","[0.0, 0.0, 0.0, 0.0003, 0.0003, 0.0004, 0.0002, 0.0002, 0.0, 0.0, 0.0, 0.0004, 0.0, 0.0, 0.0003, 0.0, 0.0004, 0.0003, 0.0004, 0.0002, 0.0, 0.0, 0.0, 0.0004, 0.0003, 0.0002, 0.0, 0.0004]"
